Bug #,Bug Title,Severity,Status Notes,Found By,Date Found,Module,Notes
845,crash on mobile,very high,,QA Team,,Database,Customer complaint
846,ui looks weird,low,,Developer,2024-02-20,Database,Low priority
847,missing button,Not Important,Fixed by John on Monday,PM,April 2024,,
848,ui looks weird,Hi,Fixed,,3/15/24,,Customer complaint
849,ui looks weird,very high,DONE,Developer,last week,Payments,
850,ui looks weird,Very High,Still working on it,Customer,"Jan 15, 2024",API,Critical for release
851,slow performance,Lo,Fixed,Customer,"Jan 15, 2024",Login,Customer complaint
852,login broken,Not Important,Cant reproduce,Customer,yesterday,UI,Low priority
853,slow performance,Very High,waiting for deploy,,last week,UI,Critical for release
854,crash on mobile,Med,Cant reproduce,Auto Test,"Jan 15, 2024",,Customer complaint
855,ui looks weird,med,closed - duplicate,PM,3/15/24,Dashboard,Happens sometimes
856,timeout error,low,Fixed,PM,2024-02-20,Reports,
857,crash on mobile,high,wont fix,Auto Test,yesterday,Login,Customer complaint
858,login broken,Hi,,Auto Test,last week,,Low priority
859,wrong calculation,Hi,Open,,last week,Dashboard,Low priority
860,slow performance,Low,Fixed by John on Monday,,April 2024,,Low priority
861,wrong calculation,high,Fixed by John on Monday,Auto Test,April 2024,,Customer complaint
862,slow performance,very high,Fixed,PM,,Dashboard,Customer complaint
863,slow performance,Low,Cant reproduce,PM,3/15/24,Auth,Customer complaint
864,page not loading,Med,Cant reproduce,PM,yesterday,Auth,Happens sometimes
865,error on submit,Lo,DONE,Customer,2024-02-20,Database,Customer complaint
866,crash on mobile,Hi,Still working on it,PM,3/15/24,Dashboard,Critical for release
867,crash on mobile,low,Still working on it,Auto Test,,Auth,Low priority
868,error on submit,low,waiting for deploy,Customer,2024-02-20,,Critical for release
869,timeout error,Very High,need more info,Developer,last week,Payments,
870,ui looks weird,Lo,Fixed,Customer,"Jan 15, 2024",Auth,Low priority
871,missing button,,Open,,April 2024,Payments,
872,error on submit,med,Cant reproduce,Auto Test,"Jan 15, 2024",Login,
873,timeout error,High,Fixed by John on Monday,Developer,2024-02-20,Database,
874,error on submit,Med,DONE,Customer,"Jan 15, 2024",API,Happens sometimes
875,timeout error,N/A,closed - duplicate,Auto Test,3/15/24,Payments,Low priority
876,wrong calculation,med,need more info,Developer,last week,,
877,error on submit,low,closed - duplicate,,"Jan 15, 2024",Payments,Happens sometimes
878,crash on mobile,med,DONE,QA Team,2024-02-20,Payments,Happens sometimes
879,slow performance,high,need more info,,2024-02-20,UI,Critical for release
880,slow performance,Med,,,3/15/24,UI,Happens sometimes
881,crash on mobile,Lo,Open,PM,yesterday,UI,Found in sprint 5
882,wrong calculation,low,Open,Developer,last week,API,Happens sometimes
883,data not saving,,Fixed by John on Monday,,3/15/24,UI,Low priority
884,wrong calculation,High,wont fix,Customer,2024-02-20,Login,
885,crash on mobile,medium,Still working on it,QA Team,last week,UI,Customer complaint
886,page not loading,V. High,DONE,Developer,"Jan 15, 2024",Dashboard,Found in sprint 5
887,missing button,Very High,Fixed by John on Monday,QA Team,yesterday,Login,Low priority
888,page not loading,High,Fixed,,April 2024,Auth,
889,page not loading,Low,need more info,Auto Test,,Payments,Happens sometimes
890,timeout error,High,closed - duplicate,QA Team,,Database,Happens sometimes
891,login broken,Medium,closed - duplicate,Auto Test,2024-02-20,,
892,slow performance,high,Cant reproduce,Auto Test,2024-02-20,Auth,Customer complaint
893,wrong calculation,Very High,Fixed,,3/15/24,Database,Customer complaint
894,error on submit,Not Important,Fixed,,yesterday,Payments,Low priority
895,login broken,Not Important,Open,,yesterday,API,Customer complaint
896,wrong calculation,N/A,wont fix,PM,yesterday,Auth,
897,wrong calculation,V. High,Cant reproduce,Auto Test,,,Customer complaint
898,data not saving,N/A,waiting for deploy,,"Jan 15, 2024",Auth,Critical for release
899,login broken,V. High,closed - duplicate,Auto Test,2024-02-20,Dashboard,
900,page not loading,N/A,,Developer,,Database,Happens sometimes
901,page not loading,very high,closed - duplicate,Developer,last week,Database,
902,missing button,low,Cant reproduce,Customer,yesterday,Database,Happens sometimes
903,page not loading,high,Fixed by John on Monday,PM,,Auth,
904,crash on mobile,,Fixed by John on Monday,Auto Test,3/15/24,Auth,Low priority
905,ui looks weird,Not Important,,Developer,3/15/24,Login,
906,error on submit,Very High,Cant reproduce,Auto Test,yesterday,Dashboard,Found in sprint 5
907,ui looks weird,medium,Cant reproduce,PM,yesterday,,Found in sprint 5
908,timeout error,medium,DONE,Customer,April 2024,Auth,Low priority
909,page not loading,V. High,Open,QA Team,3/15/24,Reports,Happens sometimes
910,login broken,Lo,Open,QA Team,2024-02-20,,
911,page not loading,high,Still working on it,Developer,last week,Login,Critical for release
912,login broken,high,wont fix,QA Team,yesterday,API,
913,login broken,Lo,Cant reproduce,Customer,"Jan 15, 2024",Reports,Found in sprint 5
914,timeout error,Not Important,Cant reproduce,Developer,April 2024,Reports,Low priority
915,crash on mobile,Very High,,QA Team,,API,Happens sometimes
916,login broken,low,need more info,,,UI,
917,error on submit,Medium,wont fix,Developer,3/15/24,Login,Found in sprint 5
918,login broken,high,need more info,Developer,2024-02-20,,Customer complaint
919,ui looks weird,Med,Open,PM,April 2024,,Customer complaint
920,login broken,Lo,Still working on it,Customer,3/15/24,,Found in sprint 5
921,crash on mobile,medium,Cant reproduce,QA Team,,Reports,Customer complaint
922,ui looks weird,medium,need more info,Customer,,Dashboard,Customer complaint
923,login broken,med,closed - duplicate,Developer,April 2024,Reports,Low priority
924,error on submit,N/A,closed - duplicate,PM,"Jan 15, 2024",Login,Critical for release
925,crash on mobile,Not Important,Still working on it,Developer,yesterday,Auth,Found in sprint 5
926,error on submit,Lo,waiting for deploy,Developer,2024-02-20,Database,Low priority
927,error on submit,Medium,need more info,,last week,UI,Happens sometimes
928,login broken,Not Important,Fixed,,April 2024,Reports,Found in sprint 5
929,timeout error,,need more info,Developer,,Payments,Critical for release
930,ui looks weird,Lo,DONE,,,Dashboard,
931,timeout error,low,,,"Jan 15, 2024",Reports,
932,page not loading,N/A,Cant reproduce,,,,Found in sprint 5
933,ui looks weird,very high,Open,,,,
934,ui looks weird,high,Cant reproduce,PM,2024-02-20,API,Found in sprint 5
935,crash on mobile,med,DONE,PM,yesterday,Login,Customer complaint
936,page not loading,med,,,,,
937,error on submit,Medium,Fixed,PM,yesterday,Login,Customer complaint
938,page not loading,medium,Open,PM,last week,Database,Happens sometimes
939,slow performance,High,closed - duplicate,PM,"Jan 15, 2024",Payments,Customer complaint
940,login broken,,need more info,,last week,,Critical for release
941,wrong calculation,low,,,,Database,
942,ui looks weird,med,Fixed by John on Monday,Auto Test,,Payments,Customer complaint
943,data not saving,very high,Still working on it,Auto Test,,UI,Customer complaint
944,ui looks weird,Very High,Fixed,Auto Test,last week,Payments,
945,crash on mobile,Medium,,QA Team,,Login,
946,timeout error,Lo,Fixed,PM,yesterday,API,Low priority
947,timeout error,High,Open,Developer,2024-02-20,Login,Happens sometimes
948,crash on mobile,low,waiting for deploy,QA Team,last week,Dashboard,
949,ui looks weird,Hi,Cant reproduce,,,Reports,Happens sometimes
950,crash on mobile,Not Important,,Auto Test,,Reports,Found in sprint 5
951,page not loading,,Still working on it,QA Team,"Jan 15, 2024",Login,Low priority
952,crash on mobile,medium,waiting for deploy,,,Reports,
953,timeout error,Hi,need more info,QA Team,,,Customer complaint
954,ui looks weird,medium,wont fix,,"Jan 15, 2024",Dashboard,
955,data not saving,High,need more info,QA Team,3/15/24,Login,
956,missing button,Lo,Cant reproduce,Auto Test,yesterday,Login,Found in sprint 5
957,missing button,high,Open,Developer,last week,UI,
958,data not saving,Hi,Still working on it,PM,April 2024,Dashboard,
959,error on submit,Very High,closed - duplicate,Customer,yesterday,Payments,Critical for release
960,wrong calculation,Lo,Fixed,Auto Test,3/15/24,Payments,
961,data not saving,med,Fixed by John on Monday,Developer,3/15/24,Database,
962,missing button,med,waiting for deploy,,April 2024,Dashboard,
963,error on submit,med,DONE,Auto Test,,Auth,Low priority
964,page not loading,Medium,Cant reproduce,PM,,,Low priority
965,data not saving,Medium,wont fix,Customer,,Login,Critical for release
966,missing button,high,Still working on it,PM,April 2024,Dashboard,Low priority
967,data not saving,low,Fixed by John on Monday,Auto Test,,Login,Critical for release
968,crash on mobile,Hi,Fixed by John on Monday,QA Team,,Payments,Low priority
969,data not saving,V. High,Fixed by John on Monday,Customer,"Jan 15, 2024",Reports,Low priority
970,wrong calculation,N/A,Cant reproduce,,April 2024,Payments,Low priority
971,login broken,Hi,wont fix,PM,3/15/24,Auth,Found in sprint 5
972,login broken,med,Fixed by John on Monday,Customer,"Jan 15, 2024",Payments,
973,crash on mobile,Lo,Cant reproduce,,2024-02-20,UI,Found in sprint 5
974,login broken,med,,Auto Test,yesterday,Reports,Customer complaint
975,error on submit,high,,,,API,Happens sometimes
976,wrong calculation,low,,,last week,UI,
977,page not loading,Not Important,,Customer,,,Found in sprint 5
978,wrong calculation,very high,closed - duplicate,PM,last week,Reports,Happens sometimes
979,page not loading,Not Important,closed - duplicate,QA Team,"Jan 15, 2024",Login,Customer complaint
980,page not loading,Very High,closed - duplicate,QA Team,3/15/24,Database,Low priority
981,slow performance,very high,waiting for deploy,Developer,yesterday,UI,Low priority
982,timeout error,Low,Fixed by John on Monday,Auto Test,2024-02-20,Dashboard,Happens sometimes
983,error on submit,Med,Still working on it,,3/15/24,Login,Found in sprint 5
984,slow performance,Medium,,Auto Test,,Reports,Found in sprint 5
985,missing button,N/A,,PM,"Jan 15, 2024",Payments,
986,data not saving,low,,Customer,,Payments,Found in sprint 5
987,login broken,medium,,,,UI,Happens sometimes
988,wrong calculation,Low,Cant reproduce,Customer,last week,Dashboard,
989,error on submit,N/A,wont fix,Auto Test,3/15/24,Reports,
990,wrong calculation,N/A,DONE,,,,Customer complaint
991,page not loading,Hi,Fixed by John on Monday,,,API,
992,crash on mobile,High,waiting for deploy,PM,,API,
993,wrong calculation,medium,DONE,Auto Test,April 2024,Login,Low priority
994,crash on mobile,V. High,need more info,,,Auth,Low priority
995,missing button,medium,,Customer,3/15/24,UI,Critical for release
996,crash on mobile,Hi,wont fix,QA Team,"Jan 15, 2024",Database,Customer complaint
997,page not loading,medium,Open,QA Team,"Jan 15, 2024",Login,
998,crash on mobile,Low,Open,PM,,Reports,Critical for release
999,error on submit,medium,Still working on it,PM,"Jan 15, 2024",Reports,Found in sprint 5
1000,error on submit,medium,,Customer,yesterday,API,
